null,null,지수명,현재가,null,전일비,등락률(%),시가지수,고가지수,저가지수,전체종목수,거래종목수,상승,상한,하락,하한,보합,거래량(천주),거래대금(백만원),상장시가총액(원)
2,157,(코) 통신장비,"265.21",1,"0.54","0.20","264.71","267.77","264.16","50","45","22","0","21","0","2","42,029","362,554","12,146,442,902,648"
2,158,(코) 정보기기,"17.21",2,"0.26","-1.49","17.47","17.48","17.08","22","19","10","0","7","0","2","52,012","194,750","2,356,766,218,895"
2,159,(코) 반도체,"1,624.38",1,"35.97","2.26","1,589.19","1,627.25","1,589.19","122","115","72","0","36","0","7","261,724","1,341,941","41,269,466,983,068"
2,160,(코) IT부품,"944.75",1,"9.72","1.04","936.72","949.36","936.72","112","105","59","0","41","0","5","250,686","1,153,609","23,436,616,706,783"
2,181,(코) 코스닥 우량기업부,"1,795.74",1,"13.10","0.73","1,778.24","1,806.93","1,778.24","378","377","185","0","171","0","21","370,305","4,981,067","177,257,355,618,338"
2,182,(코) 코스닥 벤처기업부,"1,985.80",1,"5.65","0.29","1,983.39","1,995.21","1,982.56","283","282","136","0","130","0","16","423,703","3,345,279","44,062,719,860,772"
2,183,(코) 코스닥 중견기업부,"1,908.65",1,"10.94","0.58","1,898.49","1,909.80","1,895.75","507","507","205","3","274","0","28","1,712,067","5,734,694","97,442,772,193,660"
2,184,(코) 코스닥 기술성장기업부,"8,227.04",2,"47.85","-0.58","8,277.49","8,298.97","8,213.66","107","107","35","0","68","0","4","61,123","1,584,502","42,633,159,707,985"
2,203,(코) 코스닥 150,"1,486.70",1,"7.89","0.53","1,475.11","1,499.97","1,474.54","150","150","87","0","58","0","5","122,752","4,546,905","187,990,061,003,395"
2,212,(코) 코스닥 150 소재,"1,883.99",1,"62.87","3.45","1,822.35","1,889.14","1,822.14","16","16","13","0","3","0","0","19,651","452,158","16,829,335,487,380"
2,213,(코) 코스닥 150 산업재,"247.51",1,"2.33","0.95","245.12","250.59","244.92","12","12","6","0","5","0","1","12,638","268,290","10,139,718,362,910"
2,214,(코) 코스닥 150 필수소비재,"628.19",1,"24.13","3.99","603.71","628.24","600.78","11","11","4","0","6","0","1","4,618","108,400","6,046,853,830,825"
2,215,(코) 코스닥 150 자유소비재,"1,024.06",2,"8.38","-0.81","1,033.69","1,034.63","1,020.24","12","12","5","0","6","0","1","5,091","111,971","14,065,494,388,230"
2,216,(코) 코스닥 150 정보기술,"785.45",1,"9.32","1.20","776.29","790.91","776.29","45","45","34","0","10","0","1","41,698","1,154,009","40,147,642,581,060"
2,217,(코) 코스닥 150 헬스케어,"5,386.78",2,"5.14","-0.10","5,362.99","5,462.81","5,350.94","38","38","19","0","19","0","0","34,674","2,263,710","80,845,125,783,130"
2,218,(코) 코스닥 150 커뮤니케이션서비스,"2,609.27",2,"25.57","-0.97","2,633.27","2,650.84","2,604.61","12","12","4","0","8","0","0","3,826","182,724","18,181,095,054,300"
5,042,KRX 100,"5,968.95",2,"7.82","-0.13","5,969.94","5,975.97","5,910.16","100","100","41","0","55","0","4","134,271","9,507,085","1,534,915,680,914,190"
5,043,KRX 자동차,"1,916.74",2,"10.04","-0.52","1,927.03","1,928.75","1,903.68","17","17","7","0","9","0","1","6,970","483,480","113,174,928,802,720"
5,044,KRX 반도체,"3,260.12",1,"71.23","2.23","3,194.09","3,271.34","3,194.09","37","37","33","0","4","0","0","36,092","1,206,922","116,450,967,245,600"
5,045,KRX 헬스케어,"5,376.71",1,"16.81","0.31","5,348.75","5,402.72","5,334.08","88","88","38","1","50","0","0","83,568","5,454,429","255,063,936,274,730"
5,046,KRX 은행,"641.50",2,"5.75","-0.89","647.10","647.10","635.58","8","8","1","0","7","0","0","13,323","296,127","65,409,122,009,590"
5,048,KRX 에너지화학,"3,328.96",1,"31.14","0.94","3,303.41","3,334.76","3,275.00","35","35","25","0","10","0","0","16,788","1,485,392","147,790,898,923,770"
5,049,KRX 철강,"1,427.96",2,"12.88","-0.89","1,441.33","1,441.33","1,409.03","11","11","3","0","8","0","0","8,936","240,061","41,385,875,196,235"
5,051,KRX 방송통신,"751.59",2,"0.42","-0.06","752.46","754.23","748.66","11","11","5","0","5","0","1","12,950","124,985","34,172,288,178,753"
5,052,KRX 건설,"564.79",2,"4.02","-0.71","568.96","569.03","558.16","28","28","7","0","18","0","3","18,031","334,868","35,450,529,956,805"
5,054,KRX 증권,"738.31",2,"11.40","-1.52","750.19","750.31","734.19","13","13","0","0","12","0","1","14,301","176,611","26,521,171,144,601"
5,055,KRX 기계장비,"521.43",1,"4.37","0.85","517.69","522.08","512.17","30","30","14","0","14","0","2","65,989","970,770","56,567,840,509,790"
5,056,KRX 보험,"1,172.97",2,"10.73","-0.91","1,182.41","1,185.59","1,162.64","11","11","2","0","8","0","1","21,500","156,105","37,470,386,353,390"
5,057,KRX 운송,"942.84",1,"5.12","0.55","940.65","947.77","929.97","12","12","4","0","7","0","1","69,728","626,631","29,710,063,656,510"
5,061,KRX 경기소비재,"1,184.06",2,"9.07","-0.76","1,193.07","1,193.07","1,178.41","42","42","9","0","30","0","3","14,448","520,437","73,646,117,215,230"
5,062,KRX 필수소비재,"1,686.37",2,"10.02","-0.59","1,696.44","1,697.03","1,673.69","41","41","10","0","28","0","3","9,805","429,760","101,135,925,639,470"
5,063,KRX 미디어&엔터테인먼트,"2,870.62",2,"11.68","-0.41","2,884.59","2,892.25","2,855.21","21","21","7","0","12","0","2","6,066","606,841","133,589,961,813,530"
5,064,KRX 정보기술,"1,611.83",1,"12.12","0.76","1,599.90","1,612.06","1,588.08","52","52","38","0","13","0","1","74,869","3,939,676","648,441,385,255,260"
5,065,KRX 유틸리티,"873.20",1,"29.07","3.44","844.13","873.20","844.13","5","5","4","0","1","0","0","21,290","541,235","20,915,275,593,800"
5,104,KRX 고배당 50,"2,234.59",2,"10.63","-0.47","2,248.29","2,248.31","2,224.43","50","50","14","0","31","0","5","43,195","1,331,456","289,667,454,877,955"
5,106,KRX ESG Leaders 150,"1,534.30",1,"1.06","0.07","1,533.58","1,536.58","1,517.73","150","150","54","0","88","0","8","204,842","8,172,014","1,435,441,982,987,495"
5,107,KRX Governance Leaders 100,"1,812.79",1,"3.17","0.18","1,810.67","1,814.26","1,790.66","100","100","39","1","57","0","4","167,415","7,516,680","1,060,503,396,310,500"
5,108,KRX Eco Leaders 100,"1,945.26",1,"0.80","0.04","1,944.42","1,947.55","1,924.65","100","100","32","0","63","0","5","154,169","6,780,281","1,102,316,940,624,040"
5,136,KRX ESG 사회책임경영지수(S),"1,996.91",1,"3.78","0.19","1,991.86","1,998.07","1,973.50","136","136","56","1","69","0","11","205,237","7,244,940","970,339,875,134,308"
1,163,(유) 코스피 고배당 50,"2,344.76",2,"9.21","-0.39","2,356.49","2,357.47","2,334.10","50","50","13","0","34","0","3","39,788","1,124,082","236,976,475,921,040"
1,164,(유) 코스피 배당성장 50,"3,307.97",2,"11.79","-0.36","3,322.35","3,324.60","3,280.02","50","50","16","0","29","0","5","37,621","3,055,969","675,946,872,248,040"
1,165,(유) 코스피 우선주 지수,"3,239.81",1,"10.80","0.33","3,222.85","3,239.81","3,208.15","20","20","11","0","8","0","1","5,707","383,297","69,505,408,777,560"
1,180,(유) 코스피 200 ESG 지수,"384.91",2,"0.42","-0.11","385.03","385.60","380.45","105","105","40","0","63","0","2","171,089","7,409,363","1,323,591,102,786,900"
1,185,(유) KRX-IHS Markit 코스피 200 예측 고배당 50,"1,658.27",2,"9.65","-0.58","1,668.37","1,668.99","1,647.01","50","50","13","0","33","0","4","47,512","1,070,083","227,844,304,108,805"
1,186,(유) KRX-IHS Markit 코스피 200 예측 배당성장 50,"1,478.17",2,"8.07","-0.54","1,486.66","1,487.32","1,466.77","50","50","15","0","33","0","2","32,287","1,738,273","266,011,326,700,195"
1,187,(유) KRX-IHS Markit 코스피 200 예측 고배당 50 TR,"2,199.17",2,"12.80","-0.58","0.00","0.00","0.00","-","0","0","0","0","0","0","0","0","0"
